Name,Kinase,Direct binder,CC-401,OTS-167,id,Name_official
PRKACA,yes,yes,inf,inf,5566,PRKACA
PRKACB,yes,yes,inf,inf,5567,PRKACB
PRKACG,yes,yes,inf,inf,5568,PRKACG
PRKAR2A,no,yes,inf,inf,5576,PRKAR2A
PRKCI,yes,yes,inf,inf,5584,PRKCI
PRKG1,yes,yes,inf,inf,5592,PRKG1
PRPH,no,no,inf,inf,5630,PRPH
PSMA7,no,no,inf,inf,5688,PSMA7
PSMB6,no,no,,inf,5694,PSMB6
PSMC4,no,yes,inf,inf,5704,PSMC4
PSMD12,no,no,inf,inf,5718,PSMD12
PSMD6,no,yes,inf,inf,9861,PSMD6
PSMD7,no,no,inf,inf,5713,PSMD7
PSMG1,no,no,,inf,8624,PSMG1
PTCD3,no,no,inf,inf,55037,PTCD3
PTK6,yes,yes,inf,inf,5753,PTK6
PTMA,no,no,,inf,5757,PTMA
PTPN1,no,no,inf,inf,5770,PTPN1
PYCR1,no,no,inf,inf,5831,PYCR1
PYGB,no,no,inf,inf,5834,PYGB
PYGL,no,no,inf,inf,5836,PYGL
RAB10,no,yes,inf,inf,10890,RAB10
RAB27A,no,yes,inf,inf,5873,RAB27A
RAB6A,no,yes,inf,inf,5870,RAB6A
RAN,no,yes,inf,inf,5901,RAN
RNPEP,no,no,inf,inf,6051,RNPEP
ROCK1,yes,yes,inf,inf,6093,ROCK1
ROCK2,yes,yes,inf,inf,9475,ROCK2
RPL10,no,no,inf,inf,6134,RPL10
RPL13,no,no,inf,inf,6137,RPL13
RPL28,no,no,inf,inf,6158,RPL28
RPL31,no,no,inf,inf,6160,RPL31
RPL35,no,no,inf,inf,11224,RPL35
RPL35A,no,no,inf,inf,6165,RPL35A
RPL4,no,no,inf,inf,6124,RPL4
RPL6,no,no,inf,inf,6128,RPL6
RPS4X,no,no,inf,inf,6191,RPS4X
RPS6KB1,yes,yes,inf,inf,6198,RPS6KB1
S100A6,no,no,inf,inf,6277,S100A6
SAE1,no,yes,,inf,10055,SAE1
SARNP,no,no,,inf,84324,SARNP
9-Sep,no,yes,inf,inf,10801,9-Sep
SKIV2L2,no,yes,inf,inf,23517,MTREX
SLC16A3,no,no,inf,inf,9123,SLC16A3
SLC25A11,no,no,inf,inf,8402,SLC25A11
SLC25A5,no,yes,inf,inf,292,SLC25A5
SLC25A6,no,yes,inf,inf,293,SLC25A6
SLC2A1,no,no,inf,inf,6513,SLC2A1
SMARCE1,no,no,inf,inf,6605,SMARCE1
SMC1A,no,yes,,inf,8243,SMC1A
SMC2,no,yes,inf,inf,10592,SMC2
SNRNP200,no,yes,inf,inf,23020,SNRNP200
SNRPF,no,no,,inf,6636,SNRPF
SRC,yes,yes,inf,inf,6714,SRC
SRPR,no,yes,inf,inf,6734,SRPRA
SRSF2,no,yes,inf,inf,6427,SRSF2
SSR1,no,no,inf,inf,6745,SSR1
STK11,yes,yes,inf,inf,6794,STK11
STK26,yes,yes,inf,inf,51765,STK26
STRADA,yes,yes,inf,inf,92335,STRADA
SUCLA2,no,yes,,inf,8803,SUCLA2
SYK,yes,yes,inf,inf,6850,SYK
TEC,yes,yes,inf,inf,7006,TEC
TEX264,no,no,inf,inf,51368,TEX264
TGFBR2,yes,yes,inf,inf,7048,TGFBR2
TMEM33,no,no,inf,inf,55161,TMEM33
TNK2,yes,yes,inf,inf,10188,TNK2
TOP2A,no,yes,inf,inf,7153,TOP2A
TOP2B,no,yes,inf,inf,7155,TOP2B
TPRKB,no,no,inf,inf,51002,TPRKB
TUFM,no,yes,inf,inf,7284,TUFM
TXN,no,no,inf,inf,7295,TXN
TYK2,yes,no,inf,inf,7297,TYK2
UBAP2L,no,no,inf,inf,9898,UBAP2L
UBE3C,no,no,inf,inf,9690,UBE3C
UGGT1,no,no,inf,inf,56886,UGGT1
ULK1,yes,yes,inf,inf,8408,ULK1
VDAC3,no,yes,inf,inf,7419,VDAC3
WEE1,yes,yes,inf,inf,7465,WEE1
YARS,no,yes,inf,inf,8565,YARS
YES1,yes,yes,inf,inf,7525,YES1
YWHAG,no,no,inf,inf,7532,YWHAG
YWHAQ,no,no,inf,inf,10971,YWHAQ
CSNK2A1,yes,yes,747,11,1457,CSNK2A1
CSNK2A3,yes,yes,747,11,283106,CSNK2A3
PRKCE,yes,yes,,347,5581,PRKCE
PRKCH,yes,yes,,347,5583,PRKCH
BRD4,no,no,inf,inf,23476,BRD4
BRD3,no,no,inf,inf,8019,BRD3
DDT,no,no,inf,inf,1652,DDT
DDTL,no,no,inf,inf,100037417,DDTL
EIF2S3,no,yes,inf,inf,1968,EIF2S3
EIF2S3L,no,yes,inf,inf,255308,EIF2S3B
MOB1A,no,no,inf,inf,55233,MOB1A
MOB1B,no,no,inf,inf,92597,MOB1B
PCBP2,no,no,inf,inf,5094,PCBP2
PCBP3,no,no,inf,inf,54039,PCBP3
PRKX,yes,yes,inf,inf,5613,PRKX
PRKY,yes,yes,inf,inf,5616,PRKY
YTHDF3,no,no,inf,inf,253943,YTHDF3
YTHDF1,no,no,inf,inf,54915,YTHDF1
